"産業分類","事業所数","セルフサービス方式採用事業所数","従業者数（人）","従業者数（人）_うち男","従業者数（人）_うち女","個人事業主・無給家族従業者数（人）","個人事業主・無給家族従業者数（人）_うち男","個人事業主・無給家族従業者数（人）_うち女","有給役員（人）","有給役員（人）_うち男","有給役員（人）_うち女","常用雇用者_正社員・正職員数（人）","常用雇用者_正社員・正職員数（人）_うち男","常用雇用者_正社員・正職員数（人）_うち女","_パート・アルバイト等の数（人）","_パート・アルバイト等の数（人）_うち男","_パート・アルバイト等の数（人）_うち女","臨時雇用者数（人）","臨時雇用者数（人）_うち男","臨時雇用者数（人）_うち女","従業者・臨時雇用者のうち他への派遣従業者（人）","従業者・臨時雇用者のうち他への派遣従業者（人）_うち男","従業者・臨時雇用者のうち他への派遣従業者（人）_うち女","他からの派遣従業者数（人）","他からの派遣従業者数（人）_うち男","他からの派遣従業者数（人）_うち女","就業者数（人）","就業者数（人）_うち男","就業者数（人）_うち女","ﾊﾟｰﾄ･ｱﾙﾊﾞｲﾄなどの8時間換算雇用者数（人）","年間商品販売額　（万円）","その他の収入額（万円）","売場面積　（㎡）","１事業所当たり年間商品販売額　（万円）"
"601_家具・建具・畳小売業","202.0","0.0","752.0","419.0","333.0","207.0","151.0","56.0","70.0","51.0","19.0","266.0","150.0","116.0","209.0","67.0","142.0","62.0","33.0","29.0","0.0","0.0","0.0","0.0","0.0","0.0","814.0","452.0","362.0","194.0","946247.0","14276.0","54767.0","4684.0"
"602_じゅう器小売業","115.0","2.0","249.0","117.0","132.0","132.0","67.0","65.0","28.0","19.0","9.0","51.0","23.0","28.0","38.0","8.0","30.0","7.0","2.0","5.0","0.0","0.0","0.0","1.0","1.0","0.0","257.0","120.0","137.0","31.0","143234.0","1603.0","8692.0","1246.0"
"603_医薬品・化粧品小売業","641.0","96.0","2826.0","663.0","2163.0","414.0","150.0","264.0","269.0","146.0","123.0","1032.0","274.0","758.0","1111.0","93.0","1018.0","48.0","3.0","45.0","4.0","2.0","2.0","15.0","0.0","15.0","2885.0","664.0","2221.0","795.0","4920054.0","35436.0","45536.0","7676.0"
"604_農耕用品小売業","196.0","9.0","1022.0","668.0","354.0","168.0","120.0","48.0","56.0","36.0","20.0","634.0","458.0","176.0","164.0","54.0","110.0","47.0","31.0","16.0","0.0","0.0","0.0","2.0","0.0","2.0","1071.0","699.0","372.0","144.0","2068446.0","39590.0","25108.0","10553.0"
"605_燃料小売業","557.0","0.0","2522.0","1690.0","832.0","360.0","223.0","137.0","321.0","213.0","108.0","1218.0","902.0","316.0","623.0","352.0","271.0","105.0","76.0","29.0","2.0","2.0","0.0","84.0","76.0","8.0","2709.0","1840.0","869.0","498.0","1.1231152E7","234953.0","6460.0","20164.0"
"606_書籍・文房具小売業","272.0","10.0","2331.0","1143.0","1188.0","214.0","126.0","88.0","100.0","56.0","44.0","345.0","171.0","174.0","1672.0","790.0","882.0","170.0","54.0","116.0","3.0","0.0","3.0","0.0","0.0","0.0","2498.0","1197.0","1301.0","898.0","1478906.0","72148.0","21053.0","5437.0"
"607_スポーツ用品・がん具・娯楽用品・楽器小売業","181.0","14.0","705.0","405.0","300.0","171.0","107.0","64.0","51.0","34.0","17.0","232.0","156.0","76.0","251.0","108.0","143.0","38.0","23.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","743.0","428.0","315.0","167.0","994481.0","17500.0","24368.0","5494.0"
"608_写真機・時計・眼鏡小売業","201.0","0.0","633.0","353.0","280.0","167.0","120.0","47.0","49.0","22.0","27.0","273.0","178.0","95.0","144.0","33.0","111.0","12.0","2.0","10.0","7.0","0.0","7.0","3.0","0.0","3.0","641.0","355.0","286.0","127.0","690491.0","13040.0","13404.0","3435.0"
"609_他に分類されない小売業","986.0","81.0","3897.0","1653.0","2244.0","976.0","505.0","471.0","206.0","124.0","82.0","1119.0","708.0","411.0","1596.0","316.0","1280.0","728.0","243.0","485.0","3.0","3.0","0.0","15.0","4.0","11.0","4637.0","1897.0","2740.0","1141.0","5715362.0","200257.0","180204.0","5797.0"
"61_無店舗小売業","193.0","0.0","989.0","559.0","430.0","124.0","74.0","50.0","101.0","70.0","31.0","501.0","325.0","176.0","263.0","90.0","173.0","46.0","10.0","36.0","1.0","0.0","1.0","0.0","0.0","0.0","1034.0","569.0","465.0","177.0","2829197.0","31249.0","0.0","14659.0"
"611_通信販売・訪問販売小売業","137.0","0.0","682.0","370.0","312.0","82.0","54.0","28.0","91.0","65.0","26.0","398.0","230.0","168.0","111.0","21.0","90.0","41.0","8.0","33.0","1.0","0.0","1.0","0.0","0.0","0.0","722.0","378.0","344.0","89.0","1800195.0","28672.0","0.0","13140.0"
"612_自動販売機による小売業","31.0","0.0","112.0","86.0","26.0","30.0","13.0","17.0","6.0","3.0","3.0","64.0","63.0","1.0","12.0","7.0","5.0","3.0","2.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","115.0","88.0","27.0","9.0","137984.0","939.0","0.0","4451.0"
"619_その他の無店舗小売業","25.0","0.0","195.0","103.0","92.0","12.0","7.0","5.0","4.0","2.0","2.0","39.0","32.0","7.0","140.0","62.0","78.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","197.0","103.0","94.0","79.0","891018.0","1638.0","0.0","35641.0"
